Customer,Customer_Internal_ID,Frame,Item_Internal_ID,Sales_Price,Process,Step_Process,Coating,Foil_Material,Foil_Thickness,Colour,Attribute_Cost,Base_Cost
"Intervala, LLC (AKA EPE Corp.)",1237,23 x 23 SpaceSaver,455436,637.0,Chemetch,Double,Advanced Nano,PHD,4.0,Green,338.0,299.0
Draper Laboratory (U),2592,23 x 23 SpaceSaver,71900,420.0,Chemetch,Single,None,PHD,6.0,Silver,175.0,245.0
Draper Laboratory (U),2592,23 x 23 SpaceSaver,86690,518.0,Chemetch,Single,None,Nicut/SNL,4.0,Silver,175.0,343.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,446162,425.0,Chemetch,Single,None,FG,2.0,Silver,175.0,250.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,90961,425.0,Chemetch,Single,None,FG,3.0,Silver,175.0,250.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,90941,500.0,Chemetch,Double,None,FG,3.0,Silver,175.0,325.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,90941,0.0,Chemetch,Double,None,FG,3.0,Silver,175.0,-175.0
"MICRO SYSTEMS ENGRG, INC",25646,23 x 23 Standard Tube,90966,815.0,Chemetch,Triple,None,FG,3.0,Silver,175.0,640.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,91091,425.0,Chemetch,Single,None,FG,3.5,Silver,175.0,250.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,91091,0.0,Chemetch,Single,None,FG,3.5,Silver,175.0,-175.0
KeyTronic EMS (AR),5338,23 x 23 Standard Tube,92781,535.0,Chemetch,Single,Advanced Nano,FG,4.0,Silver,338.0,197.0
KeyTronic EMS (AR),5338,23 x 23 Standard Tube,92781,0.0,Chemetch,Single,Advanced Nano,FG,4.0,Silver,338.0,-338.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,91221,425.0,Chemetch,Single,None,FG,4.0,Silver,175.0,250.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,91201,500.0,Chemetch,Double,None,FG,4.0,Silver,175.0,325.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,91231,575.0,Chemetch,Triple,None,FG,4.0,Silver,175.0,400.0
Creation Technologies LP (BC),301,23 x 23 Standard Tube,92778,726.9097136574746,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,388.90971365747464
Creation Technologies LP (BC),301,23 x 23 Standard Tube,92778,535.6176837476129,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,197.6176837476129
"TransCore / Amtech Systems, LLC (PS)",58119,23 x 23 Standard Tube,92776,612.0,Chemetch,Single,Advanced Nano,FG,4.0,Silver,338.0,274.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,91481,425.0,Chemetch,Single,None,FG,5.0,Silver,175.0,250.0
Creation Technologies LP (BC),301,23 x 23 Standard Tube,93038,567.3653374783281,Chemetch,Single,Advanced Nano,FG,5.0,Green,338.0,229.36533747832812
NEO Technology Solutions (Springfield - AKA Oncore),1397,23 x 23 Standard Tube,93016,780.0,Chemetch,Double,Advanced Nano,FG,5.0,Silver,338.0,442.0
Creation Technologies LP (BC),301,23 x 23 Standard Tube,93173,540.3062871318532,Chemetch,Single,Advanced Nano,FG,6.0,Green,338.0,202.3062871318532
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,91611,425.0,Chemetch,Single,None,FG,6.0,Silver,175.0,250.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,455476,425.0,Chemetch,Single,None,PHD,1.6,Silver,175.0,250.0
Sound Off Inc. (SOUND OFF SIGNAL) (MI),6867,23 x 23 Standard Tube,75666,540.0,Chemetch,Single,Advanced Nano,PHD,10.0,Silver,338.0,202.0
MICRO SYSTEMS ENGINEERING (PS),42183,23 x 23 Standard Tube,70861,425.0,Chemetch,Single,None,PHD,2.0,Silver,175.0,250.0
Azimuth Industrial Co. (C),24755,23 x 23 Standard Tube,70991,0.0,Chemetch,Single,None,PHD,3.0,Silver,175.0,-175.0
"Touchstone Technology, Inc. (C)",420608,23 x 23 Standard Tube,74366,571.614751960985,Chemetch,Single,Advanced Nano,PHD,3.0,Silver,338.0,233.61475196098502
Printed Circuit Assembly,30843,23 x 23 Standard Tube,76056,405.0,Chemetch,Single,Nano Wipe,PHD,3.0,Silver,215.0,190.0
Paradox Security Systems,741,23 x 23 Standard Tube,74501,433.4251865842574,Chemetch,Single,Advanced Nano,PHD,3.5,Silver,338.0,95.4251865842574
Foreseeson Technology Inc,460,23 x 23 Standard Tube,74631,495.44374986785846,Chemetch,Single,Advanced Nano,PHD,4.0,Silver,338.0,157.44374986785846
Azimuth Industrial Co. (C),24755,23 x 23 Standard Tube,71251,396.7964966820109,Chemetch,Single,None,PHD,4.0,Silver,175.0,221.7964966820109
Azimuth Industrial Co. (C),24755,23 x 23 Standard Tube,71251,408.6233335326117,Chemetch,Single,None,PHD,4.0,Silver,175.0,233.6233335326117
Azimuth Industrial Co. (C),24755,23 x 23 Standard Tube,71251,409.1217044299633,Chemetch,Single,None,PHD,4.0,Silver,175.0,234.1217044299633
DDC (Data Device Corp.),1768255,23 x 23 Standard Tube,76321,515.0,Chemetch,Single,Nano Wipe,PHD,4.0,Silver,215.0,300.0
Whoop (C),58384,23 x 23 Standard Tube,74626,583.7541848508396,Chemetch,Single,Advanced Nano,PHD,4.0,Silver,338.0,245.75418485083958
FLIR Systems Inc,767,23 x 23 Standard Tube,74626,658.4519041071318,Chemetch,Single,Advanced Nano,PHD,4.0,Silver,338.0,320.4519041071318
FLIR Systems Inc,767,23 x 23 Standard Tube,74626,810.40234351647,Chemetch,Single,Advanced Nano,PHD,4.0,Silver,338.0,472.40234351646995
Fire-Lite Alarms (CT),1294,23 x 23 Standard Tube,74626,563.0,Chemetch,Single,Advanced Nano,PHD,4.0,Silver,338.0,225.0
Whoop,55410,23 x 23 Standard Tube,74626,570.0,Chemetch,Single,Advanced Nano,PHD,4.0,Silver,338.0,232.0
MKS Instruments Inc.,3863648,23 x 23 Standard Tube,71246,303.0452524085052,Chemetch,Single,None,PHD,4.0,Silver,175.0,128.04525240850518
FRONTGRADE TECHNOLOGIES,2055457,23 x 23 Standard Tube,71246,370.0,Chemetch,Single,None,PHD,4.0,Silver,175.0,195.0
FRONTGRADE TECHNOLOGIES (C),2262758,23 x 23 Standard Tube,71246,372.3396855376941,Chemetch,Single,None,PHD,4.0,Silver,175.0,197.3396855376941
FRONTGRADE TECHNOLOGIES (C),2262758,23 x 23 Standard Tube,71246,372.44279139915307,Chemetch,Single,None,PHD,4.0,Silver,175.0,197.44279139915307
FRONTGRADE TECHNOLOGIES (C),2262758,23 x 23 Standard Tube,71246,371.13497494591013,Chemetch,Single,None,PHD,4.0,Silver,175.0,196.13497494591013
"Touchstone Technology, Inc. (C)",420608,23 x 23 Standard Tube,76316,445.6329885813353,Chemetch,Single,Nano Wipe,PHD,4.0,Silver,215.0,230.63298858133533
"Touchstone Technology, Inc. (C)",420608,23 x 23 Standard Tube,76316,458.9154361212409,Chemetch,Single,Nano Wipe,PHD,4.0,Silver,215.0,243.91543612124087
FLIR Systems Inc,767,23 x 23 Standard Tube,74606,805.7113458732994,Chemetch,Double,Advanced Nano,PHD,4.0,Silver,338.0,467.71134587329936
Whoop,55410,23 x 23 Standard Tube,74886,570.0,Chemetch,Single,Advanced Nano,PHD,4.7,Silver,338.0,232.0
Lenze Americas (U),1093,23 x 23 Standard Tube,75016,560.0,Chemetch,Single,Advanced Nano,PHD,5.0,Silver,338.0,222.0
Innovative Solutions & Support Inc,29649,23 x 23 Standard Tube,75016,520.0,Chemetch,Single,Advanced Nano,PHD,5.0,Silver,338.0,182.0
Creation Technologies LP (BC),301,23 x 23 Standard Tube,71638,350.2422247750067,Chemetch,Single,None,PHD,5.0,Green,175.0,175.24222477500672
Creation Technologies LP (BC),301,23 x 23 Standard Tube,71638,351.85837215366524,Chemetch,Single,None,PHD,5.0,Green,175.0,176.85837215366524
Creation Technologies LP (BC),301,23 x 23 Standard Tube,71638,346.3350552881398,Chemetch,Single,None,PHD,5.0,Green,175.0,171.3350552881398
Creation Technologies LP (BC),301,23 x 23 Standard Tube,71638,348.87978970069014,Chemetch,Single,None,PHD,5.0,Green,175.0,173.87978970069014
M.A.K.S INC (MAKS),48079,23 x 23 Standard Tube,71636,0.0,Chemetch,Single,None,PHD,5.0,Silver,175.0,-175.0
NEO Technology Solutions (Springfield - AKA Oncore),1397,23 x 23 Standard Tube,76706,425.0,Chemetch,Single,Nano Wipe,PHD,5.0,Silver,215.0,210.0
Whoop,55410,23 x 23 Standard Tube,72156,500.0,Chemetch,Single,None,PHD,8.0,Silver,175.0,325.0
Raytheon (AZ),3872457,23 x 23 Standard Tube,72138,700.0,Chemetch,Double,None,PHD,8.0,Green,175.0,525.0
Raytheon (AZ),3872457,23 x 23 Standard Tube,72168,700.0,Chemetch,Triple,None,PHD,8.0,Green,175.0,525.0
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,488.6290373732322,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,150.62903737323222
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,480.3998083062592,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,142.39980830625922
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,471.67675642914054,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,133.67675642914054
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,471.8666882791965,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,133.86668827919652
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,471.45229151543793,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,133.45229151543793
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,469.36304116482165,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,131.36304116482165
CircuitHub,51519,23 x 23 VectorGuard Foil,455241,490.0,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,152.0
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,472.322524719331,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,134.322524719331
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,478.22077199016184,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,140.22077199016184
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455241,479.24295067409975,Chemetch,Single,Advanced Nano,FG,3.0,Blue,338.0,141.24295067409975
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,457009,572.7503470925278,Chemetch,Double,Advanced Nano,FG,3.0,Blue,338.0,234.75034709252782
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,457009,573.4338550879892,Chemetch,Double,Advanced Nano,FG,3.0,Blue,338.0,235.43385508798917
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,457009,573.5344943020448,Chemetch,Double,Advanced Nano,FG,3.0,Blue,338.0,235.53449430204478
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455398,628.9082770371252,Chemetch,Double,Advanced Nano,FG,3.0,Green,338.0,290.90827703712523
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455398,583.3426243718861,Chemetch,Double,Advanced Nano,FG,3.0,Green,338.0,245.34262437188613
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455179,510.06269803311983,Chemetch,Single,Advanced Nano,FG,3.5,Blue,338.0,172.06269803311983
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455179,492.99056331179156,Chemetch,Single,Advanced Nano,FG,3.5,Blue,338.0,154.99056331179156
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,455179,473.10987857047235,Chemetch,Single,Advanced Nano,FG,3.5,Blue,338.0,135.10987857047235
Worthington Assembly (MA) (C),35676,23 x 23 VectorGuard Foil,455179,482.4163277962975,Chemetch,Single,Advanced Nano,FG,3.5,Blue,338.0,144.41632779629748
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447133,506.59136426137354,Chemetch,Single,Advanced Nano,FG,3.5,Green,338.0,168.59136426137354
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447133,512.8090063968432,Chemetch,Single,Advanced Nano,FG,3.5,Green,338.0,174.8090063968432
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,457886,386.17175618247575,Chemetch,Double,Nano Wipe,FG,3.5,Blue,215.0,171.17175618247575
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,500.985233454893,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,162.98523345489298
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,498.53918813893677,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,160.53918813893677
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,498.31215998086896,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,160.31215998086896
Nova Biomedical,8067,23 x 23 VectorGuard Foil,445183,552.713801040234,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,214.713801040234
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,497.36244916944486,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,159.36244916944486
Nova Biomedical,8067,23 x 23 VectorGuard Foil,445183,605.959673838738,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,267.959673838738
Nova Biomedical,8067,23 x 23 VectorGuard Foil,445183,589.5764695932854,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,251.57646959328542
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,495.3457182524863,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,157.34571825248628
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,490.5421690992511,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,152.5421690992511
Worthington Assembly (MA) (C),35676,23 x 23 VectorGuard Foil,445183,490.5421690992511,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,152.5421690992511
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,495.83954106263195,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,157.83954106263195
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,494.8311756041527,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,156.8311756041527
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,494.44440529131134,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,156.44440529131134
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,492.2032094606502,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,154.2032094606502
CircuitHub,51519,23 x 23 VectorGuard Foil,445183,490.0,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,152.0
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,495.64270259984664,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,157.64270259984664
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,490.55252901834507,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,152.55252901834507
Nova Biomedical,8067,23 x 23 VectorGuard Foil,445183,569.8026400174782,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,231.8026400174782
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,476.4561324378231,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,138.4561324378231
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,479.60209453602386,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,141.60209453602386
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,477.2158598380472,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,139.2158598380472
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,476.34562663415414,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,138.34562663415414
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,473.5415418660543,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,135.54154186605427
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,471.4246650645207,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,133.4246650645207
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,445183,473.88687250251974,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,135.88687250251974
Enercon Technologies(U),11708,23 x 23 VectorGuard Foil,445183,550.0,Chemetch,Single,Advanced Nano,FG,4.0,Blue,338.0,212.0
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,101756,508.1073264781488,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,170.10732647814882
CircuitHub,51519,23 x 23 VectorGuard Foil,101756,490.0,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,152.0
CircuitHub,51519,23 x 23 VectorGuard Foil,101756,0.0,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,-338.0
Worthington Assembly (MA) (C),35676,23 x 23 VectorGuard Foil,101756,510.06269803311983,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,172.06269803311983
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,101756,509.36696658097657,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,171.36696658097657
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,101756,508.67123512883336,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,170.67123512883336
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,101756,514.1418813893702,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,176.14188138937016
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,101756,519.5759102050574,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,181.57591020505743
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,101756,526.4233723919409,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,188.42337239194092
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,101756,496.2884708900371,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,158.2884708900371
Worthington Assembly (MA) (C),35676,23 x 23 VectorGuard Foil,101756,498.61254607344995,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,160.61254607344995
Nova Biomedical,1387,23 x 23 VectorGuard Foil,101756,0.0,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,-338.0
Nova Biomedical,1387,23 x 23 VectorGuard Foil,101756,545.0,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,207.0
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,101756,497.60072730860605,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,159.60072730860605
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447454,603.7638623184071,Chemetch,Double,Advanced Nano,FG,4.0,Blue,338.0,265.76386231840706
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447454,604.1595922759607,Chemetch,Double,Advanced Nano,FG,4.0,Blue,338.0,266.1595922759607
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447454,612.9901506546299,Chemetch,Double,Advanced Nano,FG,4.0,Blue,338.0,274.99015065462993
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447454,621.9318691337355,Chemetch,Double,Advanced Nano,FG,4.0,Blue,338.0,283.9318691337355
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447454,630.9136052489982,Chemetch,Double,Advanced Nano,FG,4.0,Blue,338.0,292.91360524899824
CircuitHub,51519,23 x 23 VectorGuard Foil,447454,590.0,Chemetch,Double,Advanced Nano,FG,4.0,Blue,338.0,252.0
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447454,586.3324476894564,Chemetch,Double,Advanced Nano,FG,4.0,Blue,338.0,248.33244768945644
CircuitHub (C),1304929,23 x 23 VectorGuard Foil,447454,571.4462306103899,Chemetch,Double,Advanced Nano,FG,4.0,Blue,338.0,233.44623061038988
Nova Biomedical,8067,23 x 23 VectorGuard Foil,109038,659.9540862079269,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,321.95408620792693
Nova Biomedical,8067,23 x 23 VectorGuard Foil,109038,660.2867818497037,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,322.28678184970374
Nova Biomedical,8067,23 x 23 VectorGuard Foil,109038,605.959673838738,Chemetch,Single,Advanced Nano,FG,4.0,Green,338.0,267.959673838738
